date,a2c,ddpg,ppo,td3,sac,mvo,dji
2020-07-01,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1001536.065233548,1000000.0
2020-07-02,1000520.7171620295,1000681.3280887605,1000067.1539765397,1000289.7557010653,1000440.95333889,1004131.1555062926,
2020-07-06,1004028.934118191,1009125.646995163,1000846.435293953,1005457.2980510715,1008068.0199038696,1022196.043104657,1021449.3879930056
2020-07-07,997467.9415597803,996014.9135391236,999720.9617573626,997438.832337952,995597.2498596993,1012410.7675198099,1006030.6671361958
2020-07-08,999805.7050938073,1003603.683789444,1000306.7869083788,1000888.4703388216,1001087.2333321114,1027198.0059361317,1012912.4064989315
2020-07-09,990940.7201432954,987626.4968517724,998950.5387321094,988393.359396744,985185.3258859024,1022896.8127597378,998877.0005585778
2020-07-10,1000152.456778862,1002462.790824215,999260.9246878283,997017.0445487979,1000452.0116196976,1024625.766970938,1013223.2671944823
2020-07-13,1004063.7243871384,1000644.2804497338,1000005.3013159942,995384.9437601704,1002778.99413694,1017492.8493567276,1013631.2718573925
2020-07-14,1025218.5365447922,1022321.2736562158,1004487.033721489,1021496.6903396992,1026612.5825997696,1038984.4534738262,1035267.130731494
2020-07-15,1030864.2754210472,1028439.1081057702,1005612.579542496,1027537.0902431873,1036948.2005616531,1041192.099301361,1044107.2317612201
2020-07-16,1030837.1495143509,1022391.607339016,1005054.6551157688,1022365.3284217342,1030220.5927697525,1033552.8543586135,1038845.8993102778
2020-07-17,1031718.5041141892,1019496.5024691735,1005887.1520827945,1024253.7096335491,1027710.4536057815,1036289.2505408203,1036405.6883864388
2020-07-20,1028889.4278665162,1020791.1316767846,1007590.2239398578,1023630.8618571971,1024785.0286218033,1050920.7396041513,1036755.4066689333
2020-07-21,1036280.332532898,1028375.7402239953,1006191.3363106692,1031546.1609119915,1031692.4297105179,1043870.1879427346,1042953.1917864776
2020-07-22,1039273.0659219857,1031832.3573657189,1009423.4621425173,1040139.9521275294,1037007.1232529983,1050724.1144714623,1049380.2518457354
2020-07-23,1030769.2626376229,1019161.5212680016,1001917.9796148227,1031129.9518833888,1028578.3639909134,1025027.1109158436,1035644.0948610841
2020-07-24,1027091.9153909341,1013333.155247799,999109.8467756733,1025993.0336704982,1024053.1138230667,1022271.9909299022,1028556.4558237807
